** Object ID ,** URI,Collection,Series,Sub Series,Container 1,Container 2,Source,** Repository,** Title,** Date,** Date – online search,Dimensions,** Extent,** Creator,** Scope and content,Location,** Access,Publisher,Type,Format,** Language,Rights,** Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,
AT-001-011,,AT-001,0,0,0,0,Artefacts - Siddiqi Lab,Archives at NCBS,Vertical electrode puller - Narishige,Unknown,0,30 x 30 x 86 cm,NA,Narishige,Vertical Electrode Puller. Narishige (manufacturing company). Used for the preparation of fine needles in developmental biology. It is a manual system with still functioning gears to hold the needle edges. People who have worked on these setups particularly remember the ‘thuds’ it would make when the task is done and the finality associated with that thud. Still sought after but not in production anymore.,Bangalore,Unrestricted,Archives at NCBS,Artefact,"Artefact, mixed media",NA,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Electrode puller,Scientific process,Narishige,Developmental biology,,,
BB-001_0_0_0_1,,BB-01,0,0,0,1,Bibliography - Siddiqi,Archives at NCBS,The Descent of Man,1901,1901,8x6 inches,1051p,"Darwin, Charles","The Descent of Man and Selection in Relation to Sex. Darwin, Charles. John Murray, Albemarle Street, London. Third Edition - 1901.",London,Unrestricted,Archives at NCBS,Book,Text,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Darwin, Charles",Sexual selection,Evolutionary theory,Adaptation,,,
MS-001_1_1_1_1_P_0004,,MS-001,1,1,1,1,Siddiqi Papers - Correspondence ,Archives at NCBS,"Khan, Reayat — Letter of Recommendation for Siddiqi",21/08/1957,1957,12x8 inches,1p,"Khan, Reayat",Letter of recommendation for Siddiqi by Reayat Khan,Unknown,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Recommendation,"Khan, Reayat","Siddiqi, Obaid",,,,
MS-001_1_1_1_1_P_0007,,MS-001,1,1,1,1,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's MSc degree,28/02/1954,1954,5x8 Inches,1p,Aligarh Muslim University,"Certificate of Siddiqi's MSc degree in Botany at Aligarh Muslim University, 1953",Aligarh,Unrestricted,Archives at NCBS,Certificate,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,MSc Certificate,"Siddiqi, Obaid",Aligarh Muslim University,Botany,,,
MS-001_1_1_1_1_P_0009,,MS-001,1,1,1,1,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's BSc degree,6/12/1951,1951,5x8 inches,1p,Aligarh Muslim University,"Certificate of Siddiqi's BSc degree in Botany and Zoology at Aligarh Muslim University, 1951",Aligarh,Unrestricted,Archives at NCBS,Certificate,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,BSc Certificate,"Siddiqi, Obaid",Aligarh Muslim University,,,,
MS-001_1_1_1_1_P_0010,,MS-001,1,1,1,1,Siddiqi Papers - Correspondence ,Archives at NCBS,Siddiqi's High School certificate,22/06/1946,1946,6x8 inches,1p,Board of High School and Intermediate Education United Provinces,High school examination certificate from 1946 specifying the subjects Siddiqi took. He was placed in the first division.,Allahabad,Unrestricted,Archives at NCBS,Certificate,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Siddiqi, Obaid",High school Certificate,,,,,
MS-001_1_1_1_10_0004-0006,,MS-001,1,1,1,10,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from H. J. Bhabha to Siddiqi regarding the details of offers for Siddiqi,9/7/1962,1962,10x10 inches,3p,"Bhabha, Homi",Letter from Homi Bhabha to Siddiqi with the details of job offers for Siddiqi. Bhabha mentions of his intentions to start biophysics and molecular biology research since inception of TIFR. He also requests Siddiqi to send a list of equipment that he would need to start his work at the institute.,Bombay,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Bhabha, Homi","Siddiqi, Obaid",Molecular Biology,Biophysics,TIFR,,
MS-001_1_1_1_10_0008-0011,,MS-001,1,1,1,10,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Siddiqi to Bhabha, accepting the fellowship and detailing equipment he would need ",20/07/1962,1962,10x10 inches,4p,"Siddiqi, Obaid","Letter from Siddiqi to Bhabha, accepting the Fellowship and mentioning the various basic equipment he would need to start his work.",Cambridge,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,"Bhabha, Homi","Siddiqi, Obaid",Molecular Biology,TIFR,Lab,,
MS-001_1_1_1_20_P_0005,,MS-001,1,1,1,20,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Pontecorvo to Siddiqi regarding his FRS nomination *,22/05/1981,1981,9.5x7.5 inches,1p,"Pontecorvo, G. ",Letter from Pontecorvo to Siddiqi regarding his FRS nomination. ,London,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Fellow of the Royal Society,FRS,"Siddiqi, Obaid","Pontecorvo, G. ",,,
MS-001_1_1_1_22_0004-0005,,MS-001,1,1,1,20,Siddiqi Papers - Correspondence ,Archives at NCBS,Postcard from Salim Ali to Siddiqi congratulating him on nomination for Padma Bhushan,27/01/1984,1984,5.5x3.5,1 card,"Ali, Salim",Post card from Salim Ali to Siddiqi congratulating him on his nomination for the Padma Bhushan Republic day Honour list,Unknown,Unrestricted,Archives at NCBS,Post card,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Ali, Salim",Padma Bhushan,"Siddiqi, Obaid",,,,
MS-001_1_1_1_23_P_0001,,MS-001,1,1,1,23,Siddiqi Papers - Correspondence ,Archives at NCBS,Congratulatory letter from CNR Rao to Siddiqi on election to the Royal Society,3/3/1984,1984,11.5x10 inches,1p,"Rao, C. N. R.",Congratulatory letter from C. N. R. Rao to Siddiqi on election to the Royal Society,"Cambridge, UK",Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Rao, C. N. R. ",Royal Society,"Siddiqi, Obaid",,,,
MS-001_1_1_1_23_P_0003,,MS-001,1,1,1,23,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Pontecorvo to Siddiqi congratulating him on his recommendation by the council of the Royal Society.,4/3/1984,1984,9.5x7.5 inches,1p,"Pontecorvo, G. ",Congratulatory letter from Pontecorvo to Siddiqi on election to the Royal Society. Pontecorvo commends the rapid progress of Siddiqi's group's work on olfactory neurogenetics,London,Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Pontecorvo, G. ","Siddiqi, Obaid",Fellow of the Royal Society,FRS,,,
MS-001_1_1_1_23_P_0019,,MS-001,1,1,1,23,Siddiqi Papers -- Correspondence,Archives at NCBS,"Radhakrishnan, V., Raman Research Institute",Mar 30 1984,1984,8.5x11.5 inches,1p,"Radhakrishnan, V.","Letters of congratulations to Siddiqi on election to the Royal Society from V. Radhakrishnan, Raman Research Institute. Radhakrishnan comments that there were ""all sorts of rumours floating around about all sorts of things"". ",Bangalore,Unrestricted,Archives at NCBS,Letter,Computer print,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Royal Society,,,,,,
MS-001_1_1_1_23_P_0021,,MS-001,1,1,1,23,Siddiqi Papers - Correspondence ,Archives at NCBS,Congratulatory letter from Robin Holliday to Siddiqi on election to the Royal Society *,9/7/1984,1984,11.5x10 inches,2p,"Holliday, R","Robin Holliday congratulates Siddiqi on his election to the Royal Society. He says 'it will do good for your group, specially as status is so important in India'. Holliday also comments on the controversial election of Margaret Thatcher to the Royal society. ",London,Unrestricted,Archives at NCBS,Handwritten Page,Ink on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes,"Holliday, Robin","Siddiqi, Obaid",Fellow of the Royal Society,FRS,,,
MS-001_1_1_1_24_P_0024,,MS-001,1,1,1,24,Siddiqi Papers -- Correspondence,Archives at NCBS,"The Royal Society Life Composition subscription payment -- Grindlays Bank, Reserve Bank of India",Feb 13 1990,1990,8.5x11.5 inches,1p,"Siddiqi, Obaid","Around the time that he was negotiating obstacles to set up NCBS, Obaid Siddiqi was going through a personal bureaucratic hurdle. The Reserve Bank of India was not willing to grant him foreign exchange to pay his life membership fee for the Royal Society till they could get some assurance that the Royal Society would not ask for more money.",Mumbai,Unrestricted,Archives at NCBS,Letter,Computer print,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Subscription fee,Royal Society membership,Banking,Bureaucracy,RBI,,
MS-001_1_1_1_3_P_0001,,MS-001,1,1,1,3,Siddiqi Papers - Correspondence ,Archives at NCBS,Application for scholarship from Obaidullah Khan Scholarship Trust,8/11/1957,1957,12x8 Inches,1p,"Siddiqi, Obaid",Siddiqi's application for a scholarship grant to carry out his PhD research in genetics under Dr. G. Pontecorvo at the University of Glasgow. He mentions that there are no facilities for work in the field of genetics of micro-organisms in India and Dr. Pontecorvo is an 'eminent authority' on the subject. ,Aligarh,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Scholarship ,"Siddiqi, Obaid",Genetics ,PhD,,,
MS-001_1_1_1_3_P_0002,,MS-001,1,1,1,3,Siddiqi Papers - Correspondence ,Archives at NCBS,"Confirmation of grant - Nawab Sultan Jahan Begum Education Endowment, Bhopal",19/06/1958,1958,10x8 inches,1p,"Beg, Shaukat","Letter confirming a grant of Rs. 12,000 payable over three years by the Nawab Sultan Jahan Begum Education Endowment, Bhopal. Siddiqi is requested to provide a quarterly progress report of his work at Glasgow",Bhopal,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Scholarship ,"Siddiqi, Obaid",Nawab Sultan Jahan Begum Education Endowment,Bhopal,,,
MS-001_1_1_1_3_P_0003,,MS-001,1,1,1,3,Siddiqi Papers - Correspondence ,Archives at NCBS,Letter from Shaukat Beg to Siddiqi stating that the grant has been considered as a 'study loan',25/07/1968,1958,10x8 inches,1p,"Beg, Shaukat","Letter from Shaukat Beg, secretary to The Board Of Governors, NSJBEE Bhopal, stating that the grant of Rs. 12,000 which was approved is of the form of a study loan which is repayable after the completion of studies. ",Bhopal,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Scholarship ,"Siddiqi, Obaid",Nawab Sultan Jahan Begum Education Endowment,,,,
MS-001_1_1_1_3_P_0009,,MS-001,1,1,1,3,Siddiqi Papers - Correspondence ,Archives at NCBS,"Letter from Siddiqi to Shaukat Beg, responding to the grant being considered as a study loan",9/12/1958,1958,10x8 inches,1p,"Siddiqi, Obaid","Siddiqi's response to Shaukat Beg's letter, in which he requests that the study loan be converted to a grant, because a loan of Rs. 12,000 would be a 'heavy responsibility'.",Glasgow,Unrestricted,Archives at NCBS,Letter,Typewritten on paper,English,Digital material from the Archives at NCBS are made available online for non-commercial research purposes. Permission for reproduction or distribution must be obtained in writing from the Archives at NCBS (archives@ncbs.res.in). The Archives at NCBS makes no representation that it is the copyright owner in all of its collections. The user must obtain all necessary rights and clearances before use of material.,Scholarship ,"Siddiqi, Obaid",Nawab Sultan Jahan Begum Education Endowment,,,,
